name
"Yours, Mine and Ours"
Joanne Woodward
Beryl Reid
Mia Farrow
Katharine Hepburn
Vanessa Redgrave
Peter O'Toole
Alan Arkin
Alan Bates
Tony Curtis
Cliff Robertson
Ron Moody
Fred Astaire
Jack Lemmon
Walter Matthau
Zero Mostel
Ruth Gordon
Barbara Hancock
Abbey Lincoln
Sondra Locke
Jane Morrow
Daniel Massey
Beau Bridges
Ossie Davis
Hugh Griffith
Martin Sheen
Paul Newman
Franco Zeffirelli
Anthony Harvey
Carol Reed
William Wyler
Stirling Silliphant
Dalton Trumbo
James Goldman
Mel Brooks
Roman Polanski
Alex North
"Richard M. Sherman, Robert B. Sherman"
John Barry
Lionel Bart
Nino Rota
Christopher Komeda
Michel Legrand
"The Windmills Of Your Mind, Michel Legrand, Alan Bergman, Marilyn Bergman"
"Buona Sera, Mrs. Campbell, Riz Ortolani, Melvin Frank"
"Chitty Chitty Bang Bang, Richard M. Sherman, Robert B. Sherman"
"Funny Girl, Jule Styne, Bob Merrill"
"Star!, Jimmy Van Heusen, Sammy Cahn"
Gregory Peck
Olivia Hussey
Ewa Aulin
Jacqueline Bisset
Barbara Hancock
Sondra Locke
Leigh Taylor-Young
Leonard Whiting
Alan Alda
Daniel Massey
Michael Sarrazin
