George Glauberman
Andrew Granville
Olinde Rodrigues
Archie Alexander
Guy Terjanian
Richard Laver
Ladislaus Bortkiewicz
Pierre Dusart
Harold Schoen
Edward J. McShane
Wilhelm Jordan (geodesist)
Alfred Lodge
Freydoon Shahidi
David E. Barrett
James Hamilton (physicist)
Michael Dinneen
Marcel Grossmann
Jon Barwise
Jeremy Quastel
Yurii Reshetnyak
V. S. Huzurbazar
Norman Levinson
Jur Hronec
Mizan Rahman
John R. Steel
N. G. W. H. Beeger
Magnus Hestenes
Yves Le Jan
Kannan Soundararajan
Horace Lamb
Jeremiah J. Callahan
Chen Jiangong
Gilles Brassard
Octav Mayer
Michael T. Anderson
Shayle R. Searle
Tomio Kubota
Anna C. Gilbert
Melvin Dresher
Vasanti N. Bhat-Nayak
David Gale
William Raoul Reagle Transue
Friedrich Risner
Robert G. Bland
Jorma Rissanen
David Harbater
Keith Edward Bullen
Per Lindström
Robert Harley 
Jean Baptiste Meusnier
Vyacheslav Stepanov
Edward Kasner
Catherine de Parthenay
Luis Huergo
Hermann Künneth
Bonnie Stewart
Francis Bashforth
Walther Mayer
Jack Silver
Michael Krivelevich
Mitchell Feigenbaum
Éric Leichtnam
Kambei Mori
Johann Peter Süssmilch
Karim Adiprasito
Alberto Calderón
Margaret Greig
Lynn Steen
Theophil Henry Hildebrandt
Thomas N.E. Greville
Simon von Stampfer
Kathrin Bringmann
Etta Zuber Falconer
Vyjayanthi Chari
Paul Benacerraf
Peter Johnstone 
Liu Lu
Jagannatha Samrat
Ramón Verea
Oriol Bohigas Martí
François Budan de Boislaurent
Khanindra Chandra Chowdhury
Hans Zantema
Bruno Buchberger
Joseph Saurin
Luigi Federico Menabrea
Michael Resnik
Yum-Tong Siu
Abduhamid Juraev
Konrad Knopp
Florence Yeldham
J. J. Thomson
Aoibhinn Ní Shúilleabháin
Nicholas Higham
Claudio Baiocchi
Alfred Foster 
John David Crawford
Evangelista Torricelli
Phillip Griffiths
Welington de Melo
Max Gunzburger
William J. Ellison
Hermann Grassmann
Pierre Schapira 
Werner Fenchel
Ivan Rival
Steve Baer
Ronald Ross
Frederic Fitch
Peng Shige
Vittorio Fossombroni
Amir Aczel
Herbert Sichel
Boris Feigin
Philip Woodward
Roland Carl Backhouse
Israel Kleiner 
Georg von Peuerbach
Steven Orszag
Nalini Anantharaman
Ticio Escobar
Radhanath Sikdar
William Edge 
Phillip Good
Ralph Fox
Hans Frauenfelder
Henk Lombaers
Vadim G. Vizing
Giacinto Morera
E. T. Parker
Mark Braverman 
Jens Franke
Lajos Pukánszky
Daniel Kane 
Ibn Yunus
Corinna Ulcigrai
J. V. Uspensky
France Križanič
J. C. P. Miller
Philipp Nicodemus Frischlin
Marie Crous
Nikolai Efimov
Beno Eckmann
David Blackwell
Georges Matheron
Konstantin Posse
Nuno Crato
John Stephen Roy Chisholm
Zalman Usiskin
Joseph-François Marie
John Stembridge
Ivor Grattan-Guinness
Francis Allotey
Daniel Lazard
Vladimir Potapov
Rasmus Bartholin
Parameshvara
Ibn Maḍāʾ
Kenneth Davidson 
Donald G. Higman
Francesco Severi
Élie Cartan
John Dee
Oscar Bruno
Bedřich Procházka
Al-Mahani
Charalambos D. Aliprantis
Alexander Kronrod
Sydney Holgate
Demetrios Christodoulou
Valentinus Otho
Barnaba Tortolini
Shrawan Kumar
Moritz Allé
Bent Fuglede
Robert Edouard Moritz
Ferdinand Joachimsthal
Arthur Prior
Hugo Hadwiger
Vojtěch Rödl
Anton Ambschel
Menaechmus
Maryam Mirzakhani
William Edwin Hamilton
Evgenii Landis
Philip Kelland
Geoffrey K. Martin
Albert Hanken
John Leslie (physicist)
Johann Hommel
Mirabbas Gasymov
Raymond Paley
John Newsome Crossley
Abū Ja'far al-Khāzin
Jakob Horn
Domenico Griminelli
Richard of Wallingford
Thomas Barker 
Julian J. Bussgang
Theodor Estermann
Huai-Dong Cao
Stephen Wiggins
John Baines 
Aleksandar Jurišič
Nicola Fergola
David Edmunds
Alexander Arhangelskii
Leo Harrington
Mischa Cotlar
Robert Heath 
Dan Segal
William Sanders 
Diocles 
Helge von Koch
Sam Vandervelde
Eudemus of Rhodes
Edward Brerewood
E. Sampathkumar
Nathan Jacobson
Tibor Gallai
Xinyi Yuan
Werner Hildenbrand
Roger Apéry
Henry Pogorzelski
Jean Kuntzmann
Jost Bürgi
Jean-Éric Pin
A. H. Lightstone
Herman Goldstine
John Gough (natural philosopher)
Yoshio Mikami
Roy Kerr
